CMDLINE C:\Users\kira_\.virtualenvs\xetra_1234-zWINPYe5\Scripts\python.exe run.py
MEM 1.707031 1664058818.4693
MEM 14.597656 1664058818.5783
MEM 22.058594 1664058818.6876
MEM 28.109375 1664058818.7926
MEM 33.613281 1664058818.9013
MEM 39.675781 1664058819.0103
MEM 42.246094 1664058819.1116
MEM 44.761719 1664058819.2167
MEM 49.292969 1664058819.3183
MEM 49.292969 1664058819.4218
MEM 49.292969 1664058819.5313
MEM 52.761719 1664058819.6367
MEM 55.851562 1664058819.7469
MEM 56.871094 1664058819.8544
MEM 59.867188 1664058819.9565
MEM 60.625000 1664058820.0575
MEM 62.042969 1664058820.1707
MEM 63.460938 1664058820.2739
MEM 65.187500 1664058820.3778
MEM 70.398438 1664058820.4821
MEM 75.625000 1664058820.5891
MEM 79.960938 1664058820.6924
MEM 83.968750 1664058820.8003
MEM 85.792969 1664058820.9137
MEM 88.789062 1664058821.0171
MEM 92.000000 1664058821.1187
